time,roll_deg,pitch_deg,yaw_deg,p_degps,q_degps,r_degps,ax_body_fps2,ay_body_fps2,az_body_fps2,airspeed_kt,u_body_fps,v_body_fps,w_body_fps,altitude_ft
0.49083169999994425,-0.322975766,10.806633448,359.616648644,-0.000000037,0.000003080,-0.000000013,6.042131059,0.178428227,-31.652468954,0.000000000,-0.000000096,0.000000001,0.000000106,117.966231338
0.5104013000000123,-0.322975768,10.806633529,359.616648643,-0.000000144,0.000003301,-0.000000021,6.042132827,0.178427762,-31.652467636,0.000000000,-0.000000086,-0.000000003,0.000000128,117.966231342
0.5293546000002607,-0.322975769,10.806633582,359.616648643,-0.000000088,0.000003282,-0.000000019,6.042131883,0.178427592,-31.652467624,0.000000000,-0.000000095,-0.000000004,0.000000153,117.966231356
0.5481694000000061,-0.322975773,10.806633664,359.616648642,-0.000000112,0.000002988,-0.000000018,6.042131325,0.178428358,-31.652465096,0.000000000,-0.000000099,0.000000001,0.000000167,117.966231352
0.5660956000001534,-0.322975775,10.806633717,359.616648642,-0.000000157,0.000003453,-0.000000026,6.042131813,0.178428159,-31.652471063,0.000000000,-0.000000098,0.000000000,0.000000123,117.966231356
0.5853434000000561,-0.322975776,10.806633769,359.616648642,0.000000119,0.000003067,0.000000009,6.042131249,0.178428228,-31.652473916,0.000000000,-0.000000097,0.000000003,0.000000098,117.966231356
0.6041054000006625,-0.322975774,10.806633849,359.616648642,-0.000000046,0.000003359,-0.000000000,6.042132998,0.178427839,-31.652467290,0.000000000,-0.000000083,0.000000000,0.000000123,117.966231356
0.6230753999998342,-0.322975774,10.806633901,359.616648642,-0.000000010,0.000003210,-0.000000006,6.042132856,0.178427626,-31.652473134,0.000000000,-0.000000076,-0.000000001,0.000000049,117.966231356
0.6421101000005365,-0.322975775,10.806633959,359.616648642,-0.000000014,0.000002884,0.000000017,6.042135329,0.178428290,-31.652466688,0.000000000,-0.000000057,0.000000003,0.000000074,117.966231356
0.6598436000003858,-0.322975774,10.806634006,359.616648642,0.000000068,0.000003339,0.000000018,6.042132136,0.178428031,-31.652466908,0.000000000,-0.000000082,0.000000003,0.000000115,117.966231356
0.6784363000006124,-0.322975773,10.806634061,359.616648642,-0.000000013,0.000003316,0.000000004,6.042132460,0.178428043,-31.652466519,0.000000000,-0.000000083,0.000000002,0.000000104,117.966231361
0.6999691000000894,-0.322975772,10.806634137,359.616648642,-0.000000039,0.000003301,-0.000000009,6.042131969,0.178427850,-31.652471103,0.000000000,-0.000000091,0.000000001,0.000000097,117.966231366
0.7194726000006995,-0.322975773,10.806634190,359.616648642,-0.000000002,0.000002892,-0.000000001,6.042132108,0.178428280,-31.652470058,0.000000000,-0.000000087,0.000000003,0.000000099,117.966231366
0.7385051999999632,-0.322975774,10.806634266,359.616648642,-0.000000125,0.000003093,-0.000000021,6.042133273,0.178427726,-31.652469949,0.000000000,-0.000000078,-0.000000003,0.000000089,117.966231366
0.7584848000005877,-0.322975775,10.806634315,359.616648641,0.000000144,0.000003329,0.000000015,6.042131595,0.178428038,-31.652472707,0.000000000,-0.000000090,0.000000002,0.000000070,117.966231370
0.776556800000435,-0.322975773,10.806634370,359.616648642,0.000000062,0.000003307,-0.000000001,6.042132065,0.178427652,-31.652472867,0.000000000,-0.000000092,0.000000000,0.000000072,117.966231375
0.7961046000000351,-0.322975772,10.806634423,359.616648642,0.000000231,0.000002982,0.000000025,6.042131721,0.178427757,-31.652470632,0.000000000,-0.000000088,0.000000003,0.000000069,117.966231375
0.815673400000378,-0.322975768,10.806634502,359.616648642,0.000000098,0.000002849,0.000000032,6.042133599,0.178428478,-31.652465124,0.000000000,-0.000000075,0.000000007,0.000000118,117.966231384
0.8349656000000323,-0.322975765,10.806634550,359.616648643,0.000000161,0.000003204,0.000000036,6.042131848,0.178428132,-31.652462360,0.000000000,-0.000000092,0.000000006,0.000000170,117.966231384
0.8566423000002032,-0.322975763,10.806634604,359.616648643,0.000000218,0.000003120,0.000000053,6.042133404,0.178428700,-31.652467116,0.000000000,-0.000000076,0.000000011,0.000000093,117.966231380
0.8770232000006217,-0.322975756,10.806634678,359.616648644,0.000000163,0.000003222,0.000000016,6.042131859,0.178427381,-31.652471935,0.000000000,-0.000000089,0.000000001,0.000000069,117.966231384
0.8947777000003043,-0.322975754,10.806634730,359.616648645,0.000000177,0.000002765,0.000000023,6.042131879,0.178427828,-31.652466668,0.000000000,-0.000000086,0.000000003,0.000000103,117.966231389
0.9146279000005961,-0.322975752,10.806634803,359.616648645,-0.000000035,0.000002926,0.000000002,6.042133965,0.178427969,-31.652470587,0.000000000,-0.000000074,0.000000002,0.000000096,117.966231389
0.9335774999999558,-0.322975751,10.806634849,359.616648645,0.000000069,0.000002868,0.000000009,6.042133083,0.178427759,-31.652471921,0.000000000,-0.000000081,0.000000001,0.000000110,117.966231389
0.9554008000004615,-0.322975751,10.806634899,359.616648645,-0.000000007,0.000003309,-0.000000005,6.042132284,0.178427776,-31.652470629,0.000000000,-0.000000090,0.000000000,0.000000102,117.966231394
0.9745044999999664,-0.322975750,10.806634971,359.616648645,-0.000000082,0.000003071,-0.000000012,6.042131600,0.178428049,-31.652466964,0.000000000,-0.000000094,0.000000002,0.000000148,117.966231398
0.9935466000006272,-0.322975751,10.806635023,359.616648645,-0.000000186,0.000002892,-0.000000025,6.042133008,0.178428021,-31.652465199,0.000000000,-0.000000085,-0.000000001,0.000000144,117.966231403
1.0202214999999342,-0.322975753,10.806635070,359.616648645,-0.000000113,0.000002902,-0.000000022,6.042132188,0.178427794,-31.652466341,0.000000000,-0.000000092,-0.000000002,0.000000163,117.966231403
1.052502500000628,-0.322975757,10.806635171,359.616648644,-0.000000013,0.000002520,-0.000000014,6.042132072,0.178427530,-31.652465287,0.000000000,-0.000000089,-0.000000003,0.000000149,117.966231403
1.0747988000002806,-0.322975758,10.806635245,359.616648644,-0.000000061,0.000002725,0.000000001,6.042133588,0.178428494,-31.652465034,0.000000000,-0.000000074,0.000000004,0.000000108,117.966231403
1.0955604999999196,-0.322975761,10.806635313,359.616648643,-0.000000168,0.000003069,-0.000000038,6.042132742,0.178427398,-31.652470304,0.000000000,-0.000000083,-0.000000007,0.000000092,117.966231412
1.1181267000001753,-0.322975765,10.806635383,359.616648642,-0.000000106,0.000002811,-0.000000020,6.042132787,0.178427950,-31.652468913,0.000000000,-0.000000082,-0.000000001,0.000000117,117.966231412
1.1396381000004112,-0.322975767,10.806635432,359.616648642,-0.000000147,0.000003262,-0.000000028,6.042132594,0.178427939,-31.652470270,0.000000000,-0.000000091,-0.000000002,0.000000116,117.966231412
1.1597724000002927,-0.322975768,10.806635501,359.616648642,-0.000000085,0.000002910,-0.000000009,6.042132560,0.178428188,-31.652467419,0.000000000,-0.000000090,0.000000002,0.000000171,117.966231417
1.1818158000005496,-0.322975770,10.806635551,359.616648641,-0.000000059,0.000002612,0.000000009,6.042134102,0.178428652,-31.652462931,0.000000000,-0.000000079,0.000000005,0.000000187,117.966231422
1.201730600000701,-0.322975770,10.806635619,359.616648641,-0.000000045,0.000002864,-0.000000024,6.042133146,0.178427325,-31.652475893,0.000000000,-0.000000083,-0.000000004,0.000000062,117.966231422
1.2222959999999148,-0.322975771,10.806635671,359.616648641,0.000000046,0.000002624,0.000000015,6.042135547,0.178428064,-31.652468910,0.000000000,-0.000000061,0.000000001,0.000000070,117.966231417
1.242891700000655,-0.322975771,10.806635738,359.616648641,-0.000000060,0.000003161,-0.000000017,6.042132209,0.178427779,-31.652469134,0.000000000,-0.000000084,-0.000000001,0.000000066,117.966231422
1.2642954000002646,-0.322975771,10.806635790,359.616648641,0.000000188,0.000002701,0.000000030,6.042134226,0.178428063,-31.652470972,0.000000000,-0.000000067,0.000000003,0.000000043,117.966231422
1.2849325000006502,-0.322975768,10.806635862,359.616648641,-0.000000027,0.000003508,-0.000000017,6.042131624,0.178427668,-31.652471102,0.000000000,-0.000000092,-0.000000000,0.000000043,117.966231422
1.307266200000413,-0.322975768,10.806635917,359.616648641,0.000000058,0.000003187,-0.000000014,6.042130766,0.178427392,-31.652466636,0.000000000,-0.000000095,-0.000000002,0.000000048,117.966231426
1.3262383999999656,-0.322975768,10.806635997,359.616648641,0.000000045,0.000002759,0.000000033,6.042135947,0.178428925,-31.652467402,0.000000000,-0.000000052,0.000000009,0.000000050,117.966231431
1.3445650000003297,-0.322975767,10.806636039,359.616648641,-0.000000027,0.000002724,0.000000010,6.042133907,0.178428614,-31.652471670,0.000000000,-0.000000066,0.000000007,0.000000064,117.966231431
1.3651747000003525,-0.322975766,10.806636103,359.616648642,0.000000217,0.000002298,0.000000016,6.042131212,0.178427340,-31.652463874,0.000000000,-0.000000085,-0.000000002,0.000000126,117.966231440
1.3841468999999051,-0.322975764,10.806636143,359.616648642,0.000000041,0.000002535,-0.000000009,6.042132593,0.178427131,-31.652470676,0.000000000,-0.000000075,-0.000000004,0.000000062,117.966231431
1.4039824000001317,-0.322975765,10.806636189,359.616648642,0.000000054,0.000002727,0.000000006,6.042133549,0.178427787,-31.652467090,0.000000000,-0.000000072,-0.000000001,0.000000084,117.966231440
1.4222090000002936,-0.322975762,10.806636254,359.616648642,0.000000054,0.000002753,0.000000008,6.042132708,0.178428118,-31.652471023,0.000000000,-0.000000078,0.000000005,0.000000071,117.966231440
1.4398295000000871,-0.322975761,10.806636301,359.616648642,0.000000125,0.000002304,0.000000035,6.042134786,0.178428569,-31.652467323,0.000000000,-0.000000062,0.000000008,0.000000089,117.966231440
1.4579499999999825,-0.322975759,10.806636339,359.616648643,-0.000000001,0.000002686,0.000000002,6.042132841,0.178428147,-31.652472470,0.000000000,-0.000000076,0.000000004,0.000000080,117.966231450
1.4758781999998973,-0.322975759,10.806636383,359.616648643,-0.000000117,0.000002988,-0.000000024,6.042132738,0.178427986,-31.652473690,0.000000000,-0.000000086,0.000000001,0.000000075,117.966231445
1.49543470000026,-0.322975760,10.806636429,359.616648643,-0.000000041,0.000002111,-0.000000020,6.042132197,0.178427555,-31.652465881,0.000000000,-0.000000079,-0.000000002,0.000000108,117.966231450
1.5121978000006493,-0.322975762,10.806636493,359.616648642,-0.000000147,0.000003100,-0.000000031,6.042132511,0.178427934,-31.652469852,0.000000000,-0.000000089,-0.000000002,0.000000100,117.966231450
1.5299447000006694,-0.322975764,10.806636539,359.616648642,-0.000000008,0.000002256,-0.000000017,6.042132520,0.178427523,-31.652468036,0.000000000,-0.000000082,-0.000000003,0.000000111,117.966231450
1.5477723000003607,-0.322975764,10.806636580,359.616648642,-0.000000061,0.000002779,-0.000000021,6.042132704,0.178427562,-31.652468423,0.000000000,-0.000000086,-0.000000003,0.000000118,117.966231459
1.5639411000001928,-0.322975766,10.806636629,359.616648641,0.000000038,0.000002438,0.000000012,6.042135219,0.178428158,-31.652468326,0.000000000,-0.000000067,0.000000001,0.000000111,117.966231459
1.581642400000419,-0.322975766,10.806636668,359.616648641,-0.000000105,0.000002769,-0.000000021,6.042133109,0.178427882,-31.652471801,0.000000000,-0.000000084,-0.000000001,0.000000122,117.966231459
1.5981962000005296,-0.322975768,10.806636716,359.616648641,-0.000000203,0.000003023,-0.000000037,6.042132832,0.178427850,-31.652466245,0.000000000,-0.000000090,-0.000000003,0.000000134,117.966231459
1.6166778000006161,-0.322975770,10.806636762,359.616648640,-0.000000084,0.000002334,-0.000000024,6.042132778,0.178427644,-31.652464407,0.000000000,-0.000000083,-0.000000004,0.000000145,117.966231464
1.6335179000006974,-0.322975772,10.806636805,359.616648640,-0.000000129,0.000002874,-0.000000025,6.042133590,0.178427738,-31.652467901,0.000000000,-0.000000079,-0.000000004,0.000000106,117.966231459
1.6541728000001967,-0.322975773,10.806636853,359.616648640,0.000000136,0.000002497,0.000000024,6.042134908,0.178428083,-31.652468759,0.000000000,-0.000000065,0.000000002,0.000000086,117.966231464
1.6918128000006618,-0.322975771,10.806636915,359.616648640,0.000000006,0.000002840,-0.000000004,6.042132872,0.178427827,-31.652468104,0.000000000,-0.000000083,0.000000001,0.000000105,117.966231468
1.7211494000002858,-0.322975768,10.806637002,359.616648641,0.000000005,0.000002657,-0.000000005,6.042132753,0.178427739,-31.652468373,0.000000000,-0.000000085,0.000000001,0.000000129,117.966231468
1.7493505000002187,-0.322975767,10.806637091,359.616648641,0.000000020,0.000002366,-0.000000003,6.042132873,0.178427943,-31.652469096,0.000000000,-0.000000085,0.000000002,0.000000135,117.966231477
1.7765758000005007,-0.322975767,10.806637157,359.616648641,0.000000094,0.000002782,0.000000017,6.042133270,0.178428256,-31.652465313,0.000000000,-0.000000091,0.000000004,0.000000175,117.966231477
1.798211899999842,-0.322975766,10.806637218,359.616648641,-0.000000081,0.000002730,-0.000000010,6.042133836,0.178427791,-31.652466558,0.000000000,-0.000000078,-0.000000001,0.000000146,117.966231477
1.820195799999965,-0.322975768,10.806637287,359.616648640,-0.000000056,0.000002084,-0.000000015,6.042135570,0.178427434,-31.652470544,0.000000000,-0.000000062,-0.000000004,0.000000090,117.966231477
1.8416955000002417,-0.322975770,10.806637348,359.616648640,-0.000000157,0.000002853,-0.000000031,6.042132163,0.178427994,-31.652463862,0.000000000,-0.000000091,-0.000000001,0.000000136,117.966231487
1.8608297999999195,-0.322975772,10.806637395,359.616648640,-0.000000023,0.000002100,-0.000000004,6.042135512,0.178427755,-31.652467651,0.000000000,-0.000000057,-0.000000001,0.000000073,117.966231477
1.8812263999998322,-0.322975773,10.806637454,359.616648639,-0.000000099,0.000002640,-0.000000019,6.042133569,0.178427897,-31.652467206,0.000000000,-0.000000074,-0.000000001,0.000000087,117.966231487
1.9017748000005668,-0.322975773,10.806637498,359.616648639,0.000000015,0.000002098,0.000000004,6.042135442,0.178427692,-31.652466336,0.000000000,-0.000000058,-0.000000001,0.000000098,117.966231487
1.9252738000004683,-0.322975774,10.806637534,359.616648639,-0.000000120,0.000002700,-0.000000022,6.042133649,0.178427739,-31.652469064,0.000000000,-0.000000074,-0.000000002,0.000000102,117.966231487
1.945831900000485,-0.322975777,10.806637600,359.616648639,-0.000000065,0.000002044,-0.000000009,6.042135858,0.178427729,-31.652467914,0.000000000,-0.000000056,-0.000000003,0.000000091,117.966231487
1.965327900000375,-0.322975779,10.806637659,359.616648638,-0.000000140,0.000002565,-0.000000025,6.042133243,0.178427905,-31.652463681,0.000000000,-0.000000083,-0.000000002,0.000000150,117.966231496
1.9872089000000415,-0.322975780,10.806637702,359.616648638,0.000000131,0.000002296,0.000000027,6.042135887,0.178428241,-31.652470048,0.000000000,-0.000000057,0.000000003,0.000000070,117.966231491
2.019921300000533,-0.322975778,10.806637760,359.616648638,0.000000021,0.000002592,-0.000000001,6.042133151,0.178427744,-31.652465338,0.000000000,-0.000000078,-0.000000000,0.000000114,117.966231496
2.0504766000003656,-0.322975774,10.806637839,359.616648639,0.000000039,0.000002410,0.000000004,6.042134114,0.178427689,-31.652470497,0.000000000,-0.000000070,0.000000001,0.000000093,117.966231501
2.0938844000002064,-0.322975773,10.806637903,359.616648639,0.000000242,0.000002689,0.000000036,6.042133652,0.178428092,-31.652468581,0.000000000,-0.000000083,0.000000005,0.000000116,117.966231505
2.129564300000311,-0.322975767,10.806638006,359.616648640,0.000000155,0.000002586,0.000000033,6.042133289,0.178428428,-31.652460478,0.000000000,-0.000000090,0.000000007,0.000000203,117.966231505
2.1693662000006952,-0.322975764,10.806638107,359.616648640,0.000000053,0.000002569,0.000000008,6.042134685,0.178428006,-31.652468945,0.000000000,-0.000000069,0.000000001,0.000000076,117.966231505
2.206568800000241,-0.322975766,10.806638202,359.616648640,0.000000030,0.000002583,0.000000012,6.042134102,0.178428497,-31.652465284,0.000000000,-0.000000072,0.000000004,0.000000117,117.966231510
2.236146700000063,-0.322975762,10.806638281,359.616648641,0.000000017,0.000002562,0.000000007,6.042133695,0.178428034,-31.652465928,0.000000000,-0.000000076,0.000000003,0.000000138,117.966231515
